Cd_senador;UF;Ano;Cargo;Candidato;Partido;VotaçãoNominal;Situação;Sexo
3360;MS;2010;SENADOR;DELCÍDIO DO AMARAL GOMEZ;PT;826.848;ELEITO;MASCULINO
3361;PB;2014;SENADOR;Jose Maranhao;PMDB;647.271;ELEITO;MASCULINO
3366;RJ;2010;SENADOR;MARCELO BEZERRA CRIVELLA;PRB;3.332.886;ELEITO;MASCULINO
3372;RO;2010;SENADOR;VALDIR RAUPP DE MATOS;PMDB;481.420;ELEITO;MASCULINO
3394;AP;2010;SENADOR;JOAO ALBERTO RODRIGUES CAPIBERIBE;PSB;130.411;ELEITO;MASCULINO
3396;CE;2014;SENADOR;Tasso Jereissati;PSDB;2.314.796;ELEITO;MASCULINO
3398;DF;2010;SENADOR;CRISTOVAM RICARDO CAVALCANTI BUARQUE;PDT;833.480;ELEITO;MASCULINO
3399;GO;2010;SENADOR;DEMOSTENES LAZARO XAVIER TORRES;DEM;2.158.812;ELEITO;MASCULINO
3695;RJ;2010;SENADOR;LUIZ LINDBERGH FARIAS FILHO;PT;4.213.749;ELEITO;MASCULINO
3713;RN;2014;SENADOR;Fatima;PT;808.055;ELEITO;FEMININO
3741;SC;2010;SENADOR;PAULO ROBERTO BAUER;PSDB;1.588.403;ELEITO;MASCULINO
3823;AL;2010;SENADOR;BENEDITO DE LIRA;PP;904.345;ELEITO;MASCULINO
3830;AP;2014;SENADOR;David Alcolumbre;DEM;131.695;ELEITO;MASCULINO
3868;ES;2006;SENADOR;Renato Casagrande;PSB;1.031.487;ELEITO;MASCULINO
4525;AL;2006;SENADOR;Fernando Collor;PRTB;550.725;ELEITO;MASCULINO
4525;AL;2014;SENADOR;Fernando Collor de Mello;PTB;689.266;ELEITO;MASCULINO
4527;AM;2006;SENADOR;Alfredo Nascimento;PL;629.238;ELEITO;MASCULINO
4529;PB;2006;SENADOR;Cícero Lucena;PSDB;803.600;ELEITO;MASCULINO
4531;MT;2006;SENADOR;Jaime Campos;PFL;781.182;ELEITO;MASCULINO
4533;DF;2006;SENADOR;Joaquim Roriz;PMDB;657.217;ELEITO;MASCULINO
4535;GO;2006;SENADOR;Marconi Perillo;PSDB;2.035.564;ELEITO;MASCULINO
4537;BA;2006;SENADOR;João Durval;PDT;2.655.552;ELEITO;MASCULINO
4539;PA;2006;SENADOR;Mário Couto;PSDB;1.456.459;ELEITO;MASCULINO
4541;PI;2006;SENADOR;João Vicente Claudino;PTB;926.631;ELEITO;MASCULINO
4543;RN;2006;SENADOR;Rosalba Ciarlini;PFL;645.869;ELEITO;MASCULINO
4545;PE;2006;SENADOR;Jarbas Vasconcelos;PMDB;2.031.261;ELEITO;MASCULINO
4558;AC;2014;SENADOR;Gladson Cameli;PP;218.756;ELEITO;MASCULINO
4560;AC;2010;SENADOR;SERGIO DE OLIVEIRA CUNHA;PMN;199.956;ELEITO;MASCULINO
4575;BA;2010;SENADOR;LIDICE DA MATA E SOUZA;PSB;3.385.300;ELEITO;FEMININO
4593;DF;2010;SENADOR;RODRIGO SOBRAL ROLLEMBERG;PSB;738.575;ELEITO;MASCULINO
4645;PB;2010;SENADOR;VITAL DO REGO FILHO;PMDB;869.501;ELEITO;MASCULINO
4697;RR;2010;SENADOR;ANGELA MARIA GOMES PORTELA;PT;110.993;ELEITO;FEMININO
4721;SE;2010;SENADOR;EDUARDO ALVES DO AMORIM;PSC;625.959;ELEITO;MASCULINO
4763;TO;2010;SENADOR;VICENTE ALVES DE OLIVEIRA;PR;332.295;ELEITO;MASCULINO
4935;RN;2010;SENADOR;GARIBALDI ALVES FILHO;PMDB;1.042.272;ELEITO;MASCULINO
