CODIGO;ANO;SENADOR;QTDE_TIPO_DESPESA;QTDE_FORNECEDOR;UF;PARTIDO;DATA_NASC;IDADE;SEXO;VALOR_REEMBOLSADO;QTDE_MATERIAS_PUB;QTDE_TIPO_MATERIA
13;2015;CASILDO MALDANER;5;20;SC;MDB;02/04/1942;77;M;14608,15;;
5197;2017;CÁSSIO CUNHA LIMA;6;77;PB;PSDB;05/04/1963;55;M;400008;53;7
5197;2012;CÁSSIO CUNHA LIMA;6;89;PB;PSDB;05/04/1963;55;M;199499,9;48;8
5197;2014;CÁSSIO CUNHA LIMA;6;82;PB;PSDB;05/04/1963;55;M;125204,45;35;5
5197;2013;CÁSSIO CUNHA LIMA;6;103;PB;PSDB;05/04/1963;55;M;317883,89;73;8
5197;2011;CÁSSIO CUNHA LIMA;2;13;PB;PSDB;05/04/1963;55;M;12827,54;6;3
5197;2015;CÁSSIO CUNHA LIMA;6;79;PB;PSDB;05/04/1963;55;M;409746,5;203;7
5197;2016;CÁSSIO CUNHA LIMA;6;58;PB;PSDB;05/04/1963;55;M;170378,9;39;6
4529;2012;CÍCERO LUCENA;4;18;PB;PSDB;05/08/1957;61;M;414116,31;45;6
4529;2014;CÍCERO LUCENA;4;17;PB;PSDB;05/08/1957;61;M;421884,28;55;9
4529;2013;CÍCERO LUCENA;4;21;PB;PSDB;05/08/1957;61;M;415508,17;115;12
4529;2011;CÍCERO LUCENA;4;20;PB;PSDB;05/08/1957;61;M;354124,2;42;7
4529;2015;CÍCERO LUCENA;2;3;PB;PSDB;05/08/1957;61;M;11768,01;;
739;2017;CIRO NOGUEIRA;3;130;PI;PP;21/11/1968;50;M;433236,29;23;4
739;2012;CIRO NOGUEIRA;4;125;PI;PP;21/11/1968;50;M;462108,19;36;4
739;2014;CIRO NOGUEIRA;6;113;PI;PP;21/11/1968;50;M;430496,82;34;5
739;2013;CIRO NOGUEIRA;5;116;PI;PP;21/11/1968;50;M;427349,59;43;5
739;2011;CIRO NOGUEIRA;4;59;PI;PP;21/11/1968;50;M;369972,38;42;5
739;2015;CIRO NOGUEIRA;5;83;PI;PP;21/11/1968;50;M;419531,8;61;6
739;2016;CIRO NOGUEIRA;4;101;PI;PP;21/11/1968;50;M;440047,81;25;3
4895;2012;CLÉSIO ANDRADE;5;14;MG;MDB;12/10/1952;66;M;130681,07;48;5
4895;2014;CLÉSIO ANDRADE;4;12;MG;MDB;12/10/1952;66;M;71148,13;16;4
4895;2013;CLÉSIO ANDRADE;5;16;MG;MDB;12/10/1952;66;M;118713,24;67;7
4895;2011;CLÉSIO ANDRADE;4;16;MG;MDB;12/10/1952;66;M;100085,27;22;6
3881;2012;CLÓVIS FECURY;4;12;MA;DEM;08/02/1969;50;M;248503,88;2;1
3881;2011;CLÓVIS FECURY;5;12;MA;DEM;08/02/1969;50;M;94662,07;;
4877;2012;CYRO MIRANDA;6;32;GO;PSDB;04/02/1946;73;M;242630,49;103;10
4877;2014;CYRO MIRANDA;7;29;GO;PSDB;04/02/1946;73;M;251617,46;108;8
4877;2013;CYRO MIRANDA;7;28;GO;PSDB;04/02/1946;73;M;228248,94;126;11
4877;2011;CYRO MIRANDA;7;40;GO;PSDB;04/02/1946;73;M;231160,95;80;13
4877;2015;CYRO MIRANDA;3;4;GO;PSDB;04/02/1946;73;M;21045,2;;
3637;2011;DANIMAR CRISTINA;4;94;PR;S/P;03/06/1956;62;F;14643,61;;
3360;2012;DELCIDIO DO AMARAL;5;18;MS;PT;08/02/1955;64;M;306174,71;46;6
3360;2014;DELCIDIO DO AMARAL;4;14;MS;PT;08/02/1955;64;M;215269,29;12;4
3360;2013;DELCIDIO DO AMARAL;5;15;MS;PT;08/02/1955;64;M;321745,48;51;8
3360;2011;DELCIDIO DO AMARAL;5;18;MS;PT;08/02/1955;64;M;250104,89;47;9
3360;2015;DELCIDIO DO AMARAL;3;15;MS;PT;08/02/1955;64;M;243099,92;115;6
3399;2012;DEMÓSTENES TORRES;6;17;GO;S/P;23/01/1961;58;M;96114,88;7;3
3399;2011;DEMÓSTENES TORRES;6;19;GO;S/P;23/01/1961;58;M;247356,53;66;8
4721;2017;EDUARDO AMORIM;6;42;SE;PSC;17/05/1963;55;M;329374,49;56;6
4721;2012;EDUARDO AMORIM;7;45;SE;PSC;17/05/1963;55;M;221216,3;38;3
4721;2014;EDUARDO AMORIM;6;35;SE;PSC;17/05/1963;55;M;183500,93;28;5
4721;2013;EDUARDO AMORIM;6;67;SE;PSC;17/05/1963;55;M;318030,66;51;7
4721;2011;EDUARDO AMORIM;5;26;SE;PSC;17/05/1963;55;M;171722,48;38;8
4721;2015;EDUARDO AMORIM;7;46;SE;PSC;17/05/1963;55;M;355302;126;10
4721;2016;EDUARDO AMORIM;7;43;SE;PSC;17/05/1963;55;M;305915,14;58;7
3400;2011;EDUARDO AZEREDO;3;15;MG;PSDB;09/09/1948;70;M;15000;;
3400;2015;;;;;;;;;;1;1
4994;2017;EDUARDO BRAGA;4;21;AM;MDB;06/12/1960;58;M;491105,83;46;8
4994;2012;EDUARDO BRAGA;2;6;AM;MDB;06/12/1960;58;M;354484,02;88;12
4994;2014;EDUARDO BRAGA;2;6;AM;MDB;06/12/1960;58;M;188518,56;44;7
4994;2013;EDUARDO BRAGA;3;5;AM;MDB;06/12/1960;58;M;370765,85;60;5
4994;2011;EDUARDO BRAGA;1;2;AM;MDB;06/12/1960;58;M;49702,57;82;8
4994;2016;EDUARDO BRAGA;4;8;AM;MDB;06/12/1960;58;M;293426,22;14;4
17;2012;EDUARDO SUPLICY;6;88;SP;PT;21/06/1941;77;M;176254,13;113;12
17;2014;EDUARDO SUPLICY;4;47;SP;PT;21/06/1941;77;M;193615,45;111;11
17;2013;EDUARDO SUPLICY;6;86;SP;PT;21/06/1941;77;M;188533,3;153;14
17;2011;EDUARDO SUPLICY;5;53;SP;PT;21/06/1941;77;M;82675;73;9
17;2015;EDUARDO SUPLICY;2;2;SP;PT;21/06/1941;77;M;20304,23;;
707;2011;EFRAIM MORAIS;2;2;PB;DEM;04/09/1952;66;M;14997;;
20;2012;EPITÁCIO CAFETEIRA;4;13;MA;PTB;27/06/1924;94;M;245891,95;5;1
20;2014;EPITÁCIO CAFETEIRA;2;5;MA;PTB;27/06/1924;94;M;24432,01;5;3
20;2013;EPITÁCIO CAFETEIRA;3;8;MA;PTB;27/06/1924;94;M;138901,59;10;3
20;2011;EPITÁCIO CAFETEIRA;3;11;MA;PTB;27/06/1924;94;M;209501,16;5;2
20;2015;EPITÁCIO CAFETEIRA;1;4;MA;PTB;27/06/1924;94;M;1865,95;;
4525;2017;FERNANDO COLLOR;3;4;AL;PTB;12/08/1949;69;M;344574,25;27;7
4525;2012;FERNANDO COLLOR;6;38;AL;PTB;12/08/1949;69;M;420617,89;18;4
4525;2014;FERNANDO COLLOR;3;3;AL;PTB;12/08/1949;69;M;420674,39;19;3
4525;2013;FERNANDO COLLOR;4;6;AL;PTB;12/08/1949;69;M;420674,4;39;5
4525;2011;FERNANDO COLLOR;4;28;AL;PTB;12/08/1949;69;M;398082,24;29;5
4525;2015;FERNANDO COLLOR;2;2;AL;PTB;12/08/1949;69;M;420674,4;45;8
4525;2016;FERNANDO COLLOR;2;2;AL;PTB;12/08/1949;69;M;420471,01;2;2
3634;2017;FLEXA RIBEIRO;7;35;PA;PSDB;12/09/1945;73;M;422372,64;89;15
