CD_SENADOR;NM_UF;NM_SENADOR;AN_ELEICAO;SG_PARTIDO;QT_VOTACAO_NOMINAL;QT_POPULACAO_UF;CS_SEXO;AN_REFERENCIA;QT_TIPO_DESPESA;QT_FORNECEDOR;DT_NASC;QT_ANOS_IDADE;VL_REEMBOLSADO;QT_MATERIAS_PUBL;QT_RELATORIA;QT_COMISSOES;QT_MEDIA_DIAS_COMISSAO
4539;PA;MÁRIO COUTO;2006;PSDB;1456459;8366628;MASCULINO;2012;6;214;14/01/1946;73;373781,26;46;;;
4539;PA;MÁRIO COUTO;2006;PSDB;1456459;8366628;MASCULINO;2014;4;67;14/01/1946;73;227118,38;29;1;8;106,125
4539;PA;MÁRIO COUTO;2006;PSDB;1456459;8366628;MASCULINO;2015;2;4;14/01/1946;73;4016,6;;;;
4539;PA;MÁRIO COUTO;2006;PSDB;1456459;8366628;MASCULINO;2013;4;115;14/01/1946;73;430145,89;68;;9;289,33333
4539;PA;MÁRIO COUTO;2006;PSDB;1456459;8366628;MASCULINO;2011;6;176;14/01/1946;73;308069,92;24;;3;183,6
4541;PI;JOÃO VICENTE CLAUDINO;2006;PTB;926631;3219257;MASCULINO;2014;6;25;09/02/1963;56;427429,92;22;5;7;68
4541;PI;JOÃO VICENTE CLAUDINO;2006;PTB;926631;3219257;MASCULINO;2015;5;9;09/02/1963;56;38834,45;;;;
4541;PI;JOÃO VICENTE CLAUDINO;2006;PTB;926631;3219257;MASCULINO;2012;6;34;09/02/1963;56;450945,51;40;15;13;322,23077
4541;PI;JOÃO VICENTE CLAUDINO;2006;PTB;926631;3219257;MASCULINO;2013;6;32;09/02/1963;56;443092;41;11;13;491
4541;PI;JOÃO VICENTE CLAUDINO;2006;PTB;926631;3219257;MASCULINO;2011;6;27;09/02/1963;56;270034,12;27;40;15;420,53333
4543;RN;ROSALBA CIARLINI;2006;PFL;645869;3507003;MASCULINO;;;;;;;;;;
4545;PE;JARBAS VASCONCELOS;2006;PMDB;2031261;9473266;MASCULINO;2013;5;56;23/08/1942;76;316669,97;61;5;4;371,25
4545;PE;JARBAS VASCONCELOS;2006;PMDB;2031261;9473266;MASCULINO;2012;7;54;23/08/1942;76;297441,61;35;5;1;239
4545;PE;JARBAS VASCONCELOS;2006;PMDB;2031261;9473266;MASCULINO;2015;5;22;23/08/1942;76;21775,93;;;;
4545;PE;JARBAS VASCONCELOS;2006;PMDB;2031261;9473266;MASCULINO;2014;5;52;23/08/1942;76;309039,31;35;;1;325
4545;PE;JARBAS VASCONCELOS;2006;PMDB;2031261;9473266;MASCULINO;2011;6;53;23/08/1942;76;258118,17;18;1;6;366,16667
3;SE;ANTONIO CARLOS VALADARES;2010;PSB;476549;2288116;MASCULINO;2012;5;13;06/04/1943;76;233111,02;104;21;8;523,5
3;SE;ANTONIO CARLOS VALADARES;2010;PSB;476549;2288116;MASCULINO;2011;5;13;06/04/1943;76;171749,47;75;42;15;572,82609
3;SE;ANTONIO CARLOS VALADARES;2010;PSB;476549;2288116;MASCULINO;2015;6;24;06/04/1943;76;333416,49;195;21;7;252,66667
3;SE;ANTONIO CARLOS VALADARES;2010;PSB;476549;2288116;MASCULINO;2016;5;17;06/04/1943;76;265583,27;80;14;4;253
3;SE;ANTONIO CARLOS VALADARES;2010;PSB;476549;2288116;MASCULINO;2017;6;34;06/04/1943;76;347111,89;66;18;8;116,16667
3;SE;ANTONIO CARLOS VALADARES;2010;PSB;476549;2288116;MASCULINO;2013;5;28;06/04/1943;76;312925,7;98;15;7;425,55556
3;SE;ANTONIO CARLOS VALADARES;2010;PSB;476549;2288116;MASCULINO;2014;6;18;06/04/1943;76;244180,47;66;20;4;180,75
16;MA;EDISON LOBÃO;2010;PMDB;1702085;7000229;MASCULINO;;;;;;;;;;
35;PA;JADER FONTENELLE BARBALHO;2010;PMDB;1799762;8366628;MASCULINO;;;;;;;;;;
40;RN;JOSÉ AGRIPINO MAIA;2010;DEM;958891;3507003;MASCULINO;2011;7;22;23/05/1945;73;245001,64;18;38;13;648,94737
40;RN;JOSÉ AGRIPINO MAIA;2010;DEM;958891;3507003;MASCULINO;2015;6;14;23/05/1945;73;288272,01;119;19;12;536,84615
40;RN;JOSÉ AGRIPINO MAIA;2010;DEM;958891;3507003;MASCULINO;2012;6;16;23/05/1945;73;275920,43;66;27;2;655,5
40;RN;JOSÉ AGRIPINO MAIA;2010;DEM;958891;3507003;MASCULINO;2014;7;16;23/05/1945;73;284412,29;44;19;6;51
40;RN;JOSÉ AGRIPINO MAIA;2010;DEM;958891;3507003;MASCULINO;2017;7;13;23/05/1945;73;300882,35;31;18;3;8
40;RN;JOSÉ AGRIPINO MAIA;2010;DEM;958891;3507003;MASCULINO;2013;7;16;23/05/1945;73;262217,55;74;40;8;307,25
40;RN;JOSÉ AGRIPINO MAIA;2010;DEM;958891;3507003;MASCULINO;2016;7;14;23/05/1945;73;306939,26;47;18;1;163
70;AL;JOSÉ RENAN VASCONCELOS CALHEIROS;2010;PMDB;840809;3375823;MASCULINO;2016;4;8;16/09/1955;63;67359,63;6;;;
70;AL;JOSÉ RENAN VASCONCELOS CALHEIROS;2010;PMDB;840809;3375823;MASCULINO;2017;5;19;16/09/1955;63;160845,77;23;;7;28,571429
70;AL;JOSÉ RENAN VASCONCELOS CALHEIROS;2010;PMDB;840809;3375823;MASCULINO;2015;1;4;16/09/1955;63;39628,87;20;3;1;732
70;AL;JOSÉ RENAN VASCONCELOS CALHEIROS;2010;PMDB;840809;3375823;MASCULINO;2012;6;33;16/09/1955;63;321013,29;32;10;4;223,6
70;AL;JOSÉ RENAN VASCONCELOS CALHEIROS;2010;PMDB;840809;3375823;MASCULINO;2011;5;70;16/09/1955;63;256160,83;18;30;6;421,77778
70;AL;JOSÉ RENAN VASCONCELOS CALHEIROS;2010;PMDB;840809;3375823;MASCULINO;2014;5;11;16/09/1955;63;145908,25;9;;;
70;AL;JOSÉ RENAN VASCONCELOS CALHEIROS;2010;PMDB;840809;3375823;MASCULINO;2013;6;30;16/09/1955;63;162212,48;15;;1;729
72;PR;ROBERTO REQUIÃO DE MELLO E SILVA;2010;PMDB;2691557;11320892;MASCULINO;2011;7;96;05/03/1941;78;159430,39;32;30;10;591,81818
